Geburtsdatum (Alter);Anrede;Familienname;Familienname;Vorname;Geburtsdatum;Geburtsdatum (Jahr)
52;Frau;Mannheimer;Mannheimer;Laurenne;05.08.1972;1972
26;Frau;Michelmaier;Michelmaier;Laurenne;02.06.1999;1999
58;Herr;Berblinger von der Burg;Berblinger von der Burg;Tom der Zweite;06.05.1967;1967
23;Herr oder Frau;Maier;Maier;Paul;08.12.2001;2001
53;Herr oder Frau;Hans;Hans;Laurenne;04.09.1971;1971
21;Frau;Keller;Keller;Lisa;05.06.2004;2004
26;Herr;Gerhard;Gerhard;Ralf;18.10.1998;1998
13;Herr oder Frau;Weisnicht;Weisnicht;Chris;06.09.2011;2011
37;Herr;Paulaner;Paulaner;Leo;05.10.1987;1987
18;Herr;Bimbam;Bimbam;Otto;10.05.2007;2007
20;Frau;Maier;Maier;Lisa;11.08.2004;2004
14;Herr;Briegel;Briegel;Teo;12.10.2010;2010
26;Frau;Besenmaier;Besenmaier;Karin;13.11.1998;1998
35;Herr oder Frau;Binich;Binich;Balba;12.09.1989;1989
23;Herr;Brenner;Brenner;Paul;15.02.2002;2002
11;;;;;14.09.2013;2013
